id;investment_name;investment_type;amount;start_date;end_date
1;reluctantly lest woot;CDI;27023.31;2024-11-29T11:14:34;2024-11-29T06:01:34
2;boo;REAL_ESTATE;30203.76;2024-11-29T00:44:26;2024-11-29T02:59:22
3;obligation apud;BONDS;23285.46;2024-11-29T17:26:37;2024-11-29T08:21:39
4;adrenalin dramatize uh-huh;STOCKS;5863.04;2024-11-29T01:22:09;2024-11-29T12:03:03
5;to;CDI;24073.28;2024-11-29T04:42:28;2024-11-29T11:07:35
6;going versus;STOCKS;17736.02;2024-11-29T04:54:12;2024-11-29T05:15:43
7;barring who muscat;BONDS;26846.12;2024-11-28T20:42:54;2024-11-29T04:10:27
8;meanwhile;MUTUAL_FUNDS;7955.73;2024-11-29T12:55:36;2024-11-28T23:37:52
9;burgeon;BONDS;9803.79;2024-11-28T20:28:45;2024-11-29T04:26:06
10;and;MUTUAL_FUNDS;21400.57;2024-11-29T08:37:27;2024-11-29T10:23:21
