id;start_date;end_date;language
1;2024-11-29T06:51:47;2024-11-29T08:46:50;ENGLISH
2;2024-11-29T07:39:16;2024-11-29T10:02:51;PORTUGUESE
3;2024-11-29T14:59:45;2024-11-28T22:21:13;PORTUGUESE
4;2024-11-28T22:44:02;2024-11-28T20:56:54;ENGLISH
5;2024-11-29T18:23:03;2024-11-28T23:53:04;PORTUGUESE
6;2024-11-29T10:04:58;2024-11-29T04:08:50;ENGLISH
7;2024-11-29T04:08:00;2024-11-29T05:05:19;PORTUGUESE
8;2024-11-29T02:38:04;2024-11-29T09:07:36;PORTUGUESE
9;2024-11-28T22:26:25;2024-11-29T13:36:45;PORTUGUESE
10;2024-11-29T00:13:21;2024-11-29T17:41:23;ENGLISH
