id;street_address;postal_code;city;state_province
1;whose;mystify;Souza do Sul;breastplate by westernize
2;hence inscribe;viciously;Lorenzo do Sul;why
3;depot but;phooey;Braga de Nossa Senhora;gadzooks
4;ocelot excited;teriyaki;Larissa do Norte;meanwhile
5;privilege reproachfully verbally;shoulder;Pereira do Sul;if
6;psst;separately haversack sunder;Franco de Nossa Senhora;if than
7;zowie how;after;Felipe do Sul;overload
8;wee lay;gasp;Daniel do Norte;drat joyfully
9;modulo;oh about;Silva do Descoberto;absent
10;successfully;wasabi lest;Melo de Nossa Senhora;past coin instead
