id;transaction_date;amount;transaction_type;description
1;2024-11-29T19:09:28;9597.8;DEPOSIT;border sundae
2;2024-11-29T16:56:20;29315.94;TRANSFER;chilly afore
3;2024-11-29T03:12:50;18915.49;TRANSFER;attribute outside
4;2024-11-28T23:07:43;4370.76;DEPOSIT;warmly
5;2024-11-29T15:04:32;23995;TRANSFER;commonly woot not
6;2024-11-29T17:26:57;13056.36;PAYMENT;jovially ouch
7;2024-11-29T02:20:01;12718.97;PAYMENT;grade furthermore
8;2024-11-29T17:47:32;27745.45;WITHDRAWAL;yowza
9;2024-11-29T08:16:44;20535.79;DEPOSIT;sad
10;2024-11-29T03:36:51;26903.62;DEPOSIT;ugh like ravioli
